;Frechet distance;Metabolite;Vendor-defined super-pathway;Vendor-defined sub-pathway;Fluid;Platform;KEGG;HMDB;ID;labels
556;1,6136;quinolinate;Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;Plasma;Metabolon HD4 [nt-ms];C03722;HMDB00232;1091004;quinolinate [P, nt-ms]
557;1,6157;5alpha-androstan-3beta,17beta-diol disulfate;Lipids;Steroid;Plasma;Metabolon HD4 [nt-ms];C12525;HMDB00493;1090653;5alpha-androstan-3beta,17beta-diol disulfate [P, nt-ms]
558;1,6166;1-arachidoyl-GPC (20:0);Lipids;Lysolipid;Plasma;Metabolon HD4 [nt-ms];C04230;HMDB10390;1090504;1-arachidoyl-GPC (20:0) [P, nt-ms]
559;1,6169;1-eicosenoyl-GPC (20:1)*;Lipids;Lysolipid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090515;1-eicosenoyl-GPC (20:1)* [P, nt-ms]
560;1,6172;erythritol;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];C00503;HMDB02994;1090770;erythritol [P, nt-ms]
561;1,6217;5-hydroxymethyl-2-furoic acid;Amino Acids;Phenylalanine and Tyrosine Metabolism;Urine;Metabolon HD4 [nt-ms];C20448;HMDB02432;2091150;5-hydroxymethyl-2-furoic acid [U, nt-ms]
562;1,6238;N-carbamylglutamate;Xenobiotics;Drug;Urine;Metabolon HD4 [nt-ms];C05829;NA;2091242;N-carbamylglutamate [U, nt-ms]
563;1,6247;5alpha-androstan-3alpha,17beta-diol monosulfate (2);Lipids;Steroid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090651;5alpha-androstan-3alpha,17beta-diol monosulfate (2) [P, nt-ms]
564;1,6266;glycerophosphoethanolamine;Lipids;Phospholipid Metabolism;Plasma;Metabolon HD4 [nt-ms];C01233;HMDB00114;1090812;glycerophosphoethanolamine [P, nt-ms]
565;1,6266;4-hydroxyhippurate;Xenobiotics;Benzoate Metabolism;Urine;Metabolon HD4 [nt-ms];NA;HMDB13678;2090634;4-hydroxyhippurate [U, nt-ms]
566;1,6278;3b-hydroxy-5-cholenoic acid;Lipids;Secondary Bile Acid Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;HMDB00308;1090589;3b-hydroxy-5-cholenoic acid [P, nt-ms]
567;1,6279;S-adenosylmethionine (SAM);Amino Acids;Methionine, Cysteine, SAM and Taurine Metabolism;Urine;Metabolon HD4 [nt-ms];C00019;HMDB01185;2091274;S-adenosylmethionine (SAM) [U, nt-ms]
568;1,6285;epiandrosterone sulfate;Lipids;Steroid;Plasma;Metabolon HD4 [nt-ms];C07635;HMDB00365;1090766;epiandrosterone sulfate [P, nt-ms]
569;1,6287;retinol (Vitamin A);Cofactors and Vitamins;Vitamin A Metabolism;Plasma;Metabolon HD4 [nt-ms];C00473;HMDB00305;1091005;retinol (Vitamin A) [P, nt-ms]
570;1,6287;5,6-dihydrothymine;Nucleotides;Pyrimidine Metabolism, Thymine containing;Plasma;Metabolon HD4 [nt-ms];C00906;HMDB00079;1090642;5,6-dihydrothymine [P, nt-ms]
571;1,6288;M137;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080470;M137 [BA, PTRMS]
572;1,6292;4-allylphenol sulfate;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];NA;NA;2090624;4-allylphenol sulfate [U, nt-ms]
573;1,6308;5alpha-androstan-3alpha,17beta-diol monosulfate (1);Lipids;Steroid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090650;5alpha-androstan-3alpha,17beta-diol monosulfate (1) [P, nt-ms]
574;1,6316;N-methyl-4-aminobutyric acid;Amino Acids;Glutamate Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090944;N-methyl-4-aminobutyric acid [P, nt-ms]
575;1,6324;hydroxycotinine;Xenobiotics;Tobacco Metabolite;Urine;Metabolon HD4 [nt-ms];NA;HMDB01390;2090842;hydroxycotinine [U, nt-ms]
576;1,6326;thymine;Nucleotides;Pyrimidine Metabolism, Thymine containing;Plasma;Metabolon HD4 [nt-ms];C00178;HMDB00262;1091048;thymine [P, nt-ms]
577;1,6333;M79;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080422;M79 [BA, PTRMS]
578;1,6347;N-methyltaurine;Amino Acids;Methionine, Cysteine, SAM and Taurine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091249;N-methyltaurine [U, nt-ms]
579;1,635;carnitine;Lipids;Carnitine Metabolism;Plasma;Metabolon HD4 [nt-ms];C00318;HMDB00062;1090723;carnitine [P, nt-ms]
580;1,6366;quinine;Xenobiotics;Drug;Urine;Metabolon HD4 [nt-ms];NA;NA;2091269;quinine [U, nt-ms]
581;1,6373;C14 (tetradecanoylcarnitine);Lipids;Long Chain Acylcarnitines;Plasma;Biocrates p150 [t-ms];NA;HMDB05066;1010044;C14 (tetradecanoylcarnitine) [P, t-ms]
582;1,6383;N-acetylphenylalanine;Amino Acids;Phenylalanine and Tyrosine Metabolism;Plasma;Metabolon HD4 [nt-ms];C03519;HMDB00512;1090930;N-acetylphenylalanine [P, nt-ms]
583;1,6386;indole-3-carboxylic acid;Amino Acids;Tryptophan Metabolism;Plasma;Metabolon HD4 [nt-ms];C19837;HMDB03320;1090849;indole-3-carboxylic acid [P, nt-ms]
584;1,6406;pimeloylcarnitine;Lipids;Fatty Acid Metabolism(Acyl Carnitine);Urine;Metabolon HD4 [nt-ms];NA;NA;2091259;pimeloylcarnitine [U, nt-ms]
585;1,6419;2-oleoyl-GPC (18:1)*;Lipids;Lysolipid;Plasma;Metabolon HD4 [nt-ms];NA;HMDB61701;1090575;2-oleoyl-GPC (18:1)* [P, nt-ms]
586;1,6422;HDL quantity;Lipids;Lipoprotein;Plasma;numares (Lipofit) [NMR];NA;NA;1070007;HDL quantity [P, NMR]
587;1,6424;trimethylamine N-oxide;Lipids;Phospholipid Metabolism;Urine;Metabolon HD4 [nt-ms];C01104;HMDB00925;2091056;trimethylamine N-oxide [U, nt-ms]
588;1,6424;1-behenoyl-GPC (22:0);Lipids;Lysolipid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090505;1-behenoyl-GPC (22:0) [P, nt-ms]
589;1,6426;5alpha-androstan-3beta,17beta-diol monosulfate (2);Lipids;Steroid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090654;5alpha-androstan-3beta,17beta-diol monosulfate (2) [P, nt-ms]
590;1,6427;M64;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080408;M64 [BA, PTRMS]
591;1,6432;androsterone sulfate;Lipids;Steroid;Plasma;Metabolon HD4 [nt-ms];NA;HMDB02759;1090692;androsterone sulfate [P, nt-ms]
592;1,6432;indolin-2-one;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];C12312;NA;1090854;indolin-2-one [P, nt-ms]
593;1,6436;methylmalonate (MMA);Lipids;Fatty Acid Metabolism (also BCAA Metabolism);Plasma;Metabolon HD4 [nt-ms];C02170;HMDB00202;1090891;methylmalonate (MMA) [P, nt-ms]
594;1,6438;glutarylcarnitine (C5);Amino Acids;Lysine Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;HMDB13130;1090806;glutarylcarnitine (C5) [P, nt-ms]
595;1,6443;cysteinylglycine;Amino Acids;Glutathione Metabolism;Plasma;Metabolon HD4 [nt-ms];C01419;HMDB00078;1090750;cysteinylglycine [P, nt-ms]
596;1,6508;stachydrine;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];C10172;HMDB04827;2091024;stachydrine [U, nt-ms]
597;1,6516;PC aa C36:3;Lipids;Diacylphosphatidylcholines;Plasma;Biocrates p150 [t-ms];C00157;HMDB07981;1010094;PC aa C36:3 [P, t-ms]
598;1,6516;N2,N2-dimethylguanine;Nucleotides;Purine Metabolism, Guanine containing;Urine;Metabolon HD4 [nt-ms];NA;NA;2091225;N2,N2-dimethylguanine [U, nt-ms]
599;1,6535;andro steroid monosulfate (1)*;Lipids;Steroid;Plasma;Metabolon HD4 [nt-ms];C04555;HMDB02759;1090691;andro steroid monosulfate (1)* [P, nt-ms]
600;1,6536;gamma-glutamylisoleucine*;Peptides;Gamma-glutamyl Amino Acid;Plasma;Metabolon HD4 [nt-ms];NA;HMDB11170;1090790;gamma-glutamylisoleucine* [P, nt-ms]
601;1,654;N-stearoyltaurine;Lipids;Endocannabinoid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090950;N-stearoyltaurine [P, nt-ms]
602;1,6545;N1,N12-diacetylspermine;Amino Acids;Polyamine Metabolism;Urine;Metabolon HD4 [nt-ms];C03413;HMDB02172;2091223;N1,N12-diacetylspermine [U, nt-ms]
603;1,6554;1-oleoyl-GPC (18:1);Lipids;Lysolipid;Plasma;Metabolon HD4 [nt-ms];NA;HMDB02815;1090531;1-oleoyl-GPC (18:1) [P, nt-ms]
604;1,6554;lysine;Amino Acids;Lysine Metabolism;Plasma;Metabolon HD4 [nt-ms];C00047;HMDB00182;1090875;lysine [P, nt-ms]
605;1,6586;2-piperidinone;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];NA;NA;2090579;2-piperidinone [U, nt-ms]
606;1,6596;N-acetylaspartate (NAA);Amino Acids;Alanine and Aspartate Metabolism;Plasma;Metabolon HD4 [nt-ms];C01042;HMDB00812;1090913;N-acetylaspartate (NAA) [P, nt-ms]
607;1,6599;creatine;Amino Acids;Creatine Metabolism;Plasma;Metabolon HD4 [nt-ms];C00300;HMDB00064;1090742;creatine [P, nt-ms]
608;1,6599;trans-urocanate;Amino Acids;Histidine Metabolism;Plasma;Metabolon HD4 [nt-ms];C00785;HMDB00301;1091054;trans-urocanate [P, nt-ms]
609;1,6608;flavin adenine dinucleotide (FAD);Cofactors and Vitamins;Riboflavin Metabolism;Plasma;Metabolon HD4 [nt-ms];C00016;HMDB01248;1090777;flavin adenine dinucleotide (FAD) [P, nt-ms]
610;1,6617;dimethylmalonic acid;Lipids;Fatty Acid, Dicarboxylate;Urine;Metabolon HD4 [nt-ms];NA;HMDB02001;2091184;dimethylmalonic acid [U, nt-ms]
611;1,6618;PC ae C38:3;Lipids;Acylalkylphosphatidylcholines;Plasma;Biocrates p150 [t-ms];NA;HMDB13439;1010129;PC ae C38:3 [P, t-ms]
612;1,6637;M81;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080424;M81 [BA, PTRMS]
613;1,6649;12-dehydrocholate;Lipids;Secondary Bile Acid Metabolism;Urine;Metabolon HD4 [nt-ms];NA;HMDB00400;2091076;12-dehydrocholate [U, nt-ms]
614;1,6655;1-docosapentaenoyl-GPC (22:5n6)*;Lipids;Lysolipid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090512;1-docosapentaenoyl-GPC (22:5n6)* [P, nt-ms]
615;1,6667;bilirubin (E,E)*;Cofactors and Vitamins;Hemoglobin and Porphyrin Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090708;bilirubin (E,E)* [P, nt-ms]
616;1,6684;tryptophan betaine;Amino Acids;Tryptophan Metabolism;Urine;Metabolon HD4 [nt-ms];C09213;HMDB61115;2091058;tryptophan betaine [U, nt-ms]
617;1,6702;2-hydroxystearate;Lipids;Fatty Acid, Monohydroxy;Plasma;Metabolon HD4 [nt-ms];C03045;NA;1090568;2-hydroxystearate [P, nt-ms]
618;1,6704;histamine;Amino Acids;Histidine Metabolism;Urine;Metabolon HD4 [nt-ms];C00388;HMDB00870;2091207;histamine [U, nt-ms]
619;1,6713;argininosuccinate;Amino Acids;"Urea cycle; Arginine and Proline Metabolism";Urine;Metabolon HD4 [nt-ms];C03406;HMDB00052;2090698;argininosuccinate [U, nt-ms]
620;1,6737;glycerol 3-phosphate;Lipids;Glycerolipid Metabolism;Plasma;Metabolon HD4 [nt-ms];C00093;HMDB00126;1090811;glycerol 3-phosphate [P, nt-ms]
621;1,6741;arginine;Amino Acids;"Urea cycle; Arginine and Proline Metabolism";Urine;Metabolon HD4 [nt-ms];C00062;HMDB00517;2090697;arginine [U, nt-ms]
622;1,6758;PC ae C38:5;Lipids;Acylalkylphosphatidylcholines;Plasma;Biocrates p150 [t-ms];NA;HMDB13432;1010131;PC ae C38:5 [P, t-ms]
623;1,6762;4-androsten-3beta,17beta-diol disulfate (1);Lipids;Steroid;Plasma;Metabolon HD4 [nt-ms];C04295;HMDB03818;1090627;4-androsten-3beta,17beta-diol disulfate (1) [P, nt-ms]
624;1,6767;3-hydroxymyristate;Lipids;Fatty Acid, Monohydroxy;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090601;3-hydroxymyristate [P, nt-ms]
625;1,6774;C12 (dodecanoylcarnitine);Lipids;Medium chain Acylcarnitines;Plasma;Biocrates p150 [t-ms];NA;HMDB02250;1010042;C12 (dodecanoylcarnitine) [P, t-ms]
626;1,6781;N-acetylisoleucine;Amino Acids;Leucine, Isoleucine and Valine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2090925;N-acetylisoleucine [U, nt-ms]
627;1,6794;methionine sulfone;Amino Acids;Methionine, Cysteine, SAM and Taurine Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090886;methionine sulfone [P, nt-ms]
628;1,6799;3-methoxytyrosine;Amino Acids;Phenylalanine and Tyrosine Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;HMDB01434;1090608;3-methoxytyrosine [P, nt-ms]
629;1,6805;5-hydroxyhexanoate;Lipids;Fatty Acid, Monohydroxy;Plasma;Metabolon HD4 [nt-ms];NA;HMDB00525;1090660;5-hydroxyhexanoate [P, nt-ms]
630;1,6807;1-stearoyl-GPI (18:0);Lipids;Lysolipid;Plasma;Metabolon HD4 [nt-ms];NA;HMDB61696;1090545;1-stearoyl-GPI (18:0) [P, nt-ms]
631;1,6815;3-indoxyl sulfate;Amino Acids;Tryptophan Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;HMDB00682;1090606;3-indoxyl sulfate [P, nt-ms]
632;1,6817;valine;Amino Acids;Leucine, Isoleucine and Valine Metabolism;Plasma;Biocrates p150 [t-ms];C00183;HMDB00883;1010079;valine [P, t-ms]
633;1,6832;N6-carbamoylthreonyladenosine;Nucleotides;Purine Metabolism, Adenine containing;Plasma;Metabolon HD4 [nt-ms];NA;HMDB41623;1090905;N6-carbamoylthreonyladenosine [P, nt-ms]
634;1,6836;propionylcarnitine;Lipids;Fatty Acid Metabolism (also BCAA Metabolism);Plasma;Metabolon HD4 [nt-ms];C03017;HMDB00824;1090995;propionylcarnitine [P, nt-ms]
635;1,6839;4-ethylphenol glucuronide;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];NA;NA;2091135;4-ethylphenol glucuronide [U, nt-ms]
636;1,6847;phenol sulfate;Amino Acids;Phenylalanine and Tyrosine Metabolism;Plasma;Metabolon HD4 [nt-ms];C02180;HMDB60015;1090972;phenol sulfate [P, nt-ms]
637;1,687;pyroglutamine*;Amino Acids;Glutamate Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091000;pyroglutamine* [U, nt-ms]
638;1,6871;pyroglutamine*;Amino Acids;Glutamate Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;NA;1091000;pyroglutamine* [P, nt-ms]
639;1,6872;ergothioneine;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];C05570;HMDB03045;1090769;ergothioneine [P, nt-ms]
640;1,6873;SM (OH) C14:1;Lipids;sphingomyelins;Plasma;Biocrates p150 [t-ms];NA;NA;1010157;SM (OH) C14:1 [P, t-ms]
641;1,6874;N-acetylhistidine;Amino Acids;Histidine Metabolism;Plasma;Metabolon HD4 [nt-ms];C02997;HMDB32055;1090924;N-acetylhistidine [P, nt-ms]
642;1,6877;histidine;Amino Acids;Histidine Metabolism;Plasma;Metabolon HD4 [nt-ms];C00135;HMDB00177;1090836;histidine [P, nt-ms]
643;1,6879;High Density Lipoprotein D (particlesize = 13-16 nm);Lipids;Lipoprotein;Plasma;numares (Lipofit) [NMR];NA;NA;1070025;High Density Lipoprotein D (particlesize = 13-16 nm) [P, NMR]
644;1,688;1-docosapentaenoyl-GPC (22:5n3)*;Lipids;Lysolipid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090511;1-docosapentaenoyl-GPC (22:5n3)* [P, nt-ms]
645;1,6887;phenylalanine;Amino Acids;Phenylalanine and Tyrosine Metabolism;Urine;Metabolon HD4 [nt-ms];C00079;HMDB00159;2090976;phenylalanine [U, nt-ms]
646;1,689;High Density Lipoprotein A (particlesize = 7-8.5 nm);Lipids;Lipoprotein;Plasma;numares (Lipofit) [NMR];NA;NA;1070028;High Density Lipoprotein A (particlesize = 7-8.5 nm) [P, NMR]
647;1,689;gamma-glutamylphenylalanine;Peptides;Gamma-glutamyl Amino Acid;Plasma;Metabolon HD4 [nt-ms];NA;HMDB00594;1090793;gamma-glutamylphenylalanine [P, nt-ms]
648;1,6894;PC aa C40:4;Lipids;Diacylphosphatidylcholines;Plasma;Biocrates p150 [t-ms];C00157;HMDB08054;1010106;PC aa C40:4 [P, t-ms]
649;1,6904;tartarate;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];C00898;HMDB00956;1091032;tartarate [P, nt-ms]
650;1,6908;xylose;Carbohydrates;Pentose Metabolism;Urine;Metabolon HD4 [nt-ms];C00181;HMDB00098;2091072;xylose [U, nt-ms]
651;1,6914;N-acetyl-aspartyl-glutamate (NAAG);Amino Acids;Glutamate Metabolism;Plasma;Metabolon HD4 [nt-ms];C12270;HMDB01067;1090914;N-acetyl-aspartyl-glutamate (NAAG) [P, nt-ms]
652;1,6934;C5 (valerylcarnitine);Lipids;Short Chain Acylcarnitines;Plasma;Biocrates p150 [t-ms];NA;HMDB00378;1010060;C5 (valerylcarnitine) [P, t-ms]
653;1,6942;myristoylcarnitine;Lipids;Fatty Acid Metabolism(Acyl Carnitine);Plasma;Metabolon HD4 [nt-ms];NA;HMDB05066;1090896;myristoylcarnitine [P, nt-ms]
654;1,6955;3-hydroxylaurate;Lipids;Fatty Acid, Monohydroxy;Plasma;Metabolon HD4 [nt-ms];NA;HMDB00387;1090600;3-hydroxylaurate [P, nt-ms]
655;1,6958;glucose;Carbohydrates;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;Plasma;Metabolon HD4 [nt-ms];C00031;HMDB00122;1090801;glucose [P, nt-ms]
656;1,6976;cysteine;Amino Acids;Methionine, Cysteine, SAM and Taurine Metabolism;Plasma;Metabolon HD4 [nt-ms];C00097;HMDB00574;1090746;cysteine [P, nt-ms]
657;1,6989;glucarate (saccharate);Cofactors and Vitamins;Ascorbate and Aldarate Metabolism;Urine;Metabolon HD4 [nt-ms];C00818;HMDB00663;2091198;glucarate (saccharate) [U, nt-ms]
658;1,6997;PC aa C28:1;Lipids;Diacylphosphatidylcholines;Plasma;Biocrates p150 [t-ms];NA;NA;1010081;PC aa C28:1 [P, t-ms]
659;1,7007;5-hydroxyindoleacetate;Amino Acids;Tryptophan Metabolism;Plasma;Metabolon HD4 [nt-ms];C05635;HMDB00763;1090661;5-hydroxyindoleacetate [P, nt-ms]
660;1,7022;methylsuccinate;Amino Acids;Leucine, Isoleucine and Valine Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;HMDB01844;1090892;methylsuccinate [P, nt-ms]
661;1,7027;xanthosine;Nucleotides;Purine Metabolism, (Hypo)Xanthine/Inosine containing;Plasma;Metabolon HD4 [nt-ms];C01762;HMDB00299;1091070;xanthosine [P, nt-ms]
662;1,703;caprate (10:0);Lipids;Medium Chain Fatty Acid;Plasma;Metabolon HD4 [nt-ms];C01571;HMDB00511;1090719;caprate (10:0) [P, nt-ms]
663;1,7036;N-acetylvaline;Amino Acids;Leucine, Isoleucine and Valine Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;HMDB11757;1090938;N-acetylvaline [P, nt-ms]
664;1,7036;octanoylcarnitine;Lipids;Fatty Acid Metabolism(Acyl Carnitine);Plasma;Metabolon HD4 [nt-ms];C02838;HMDB00791;1090954;octanoylcarnitine [P, nt-ms]
665;1,7041;chylomicrons B (particlesize > 150 nm);Lipids;Lipoprotein;Plasma;numares (Lipofit) [NMR];NA;NA;1070014;chylomicrons B (particlesize > 150 nm) [P, NMR]
666;1,7067;N4-acetylcytidine;Nucleotides;Pyrimidine Metabolism, Cytidine containing;Plasma;Metabolon HD4 [nt-ms];NA;HMDB05923;1090902;N4-acetylcytidine [P, nt-ms]
667;1,707;3-aminoisobutyrate;Nucleotides;Pyrimidine Metabolism, Thymine containing;Plasma;Metabolon HD4 [nt-ms];C05145;HMDB03911;1090587;3-aminoisobutyrate [P, nt-ms]
668;1,7071;cis-urocanate;Amino Acids;Histidine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091172;cis-urocanate [U, nt-ms]
669;1,7074;beta-hydroxyisovaleroylcarnitine;Amino Acids;Leucine, Isoleucine and Valine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091167;beta-hydroxyisovaleroylcarnitine [U, nt-ms]
670;1,7076;alanine;Amino Acids;Alanine and Aspartate Metabolism;Plasma;Metabolon HD4 [nt-ms];C00041;HMDB00161;1090682;alanine [P, nt-ms]
671;1,7076;methyl-4-hydroxybenzoate sulfate;Xenobiotics;Benzoate Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2090890;methyl-4-hydroxybenzoate sulfate [U, nt-ms]
672;1,7085;SM C20:2;Lipids;sphingomyelins;Plasma;Biocrates p150 [t-ms];NA;NA;1010166;SM C20:2 [P, t-ms]
673;1,7094;5alpha-androstan-3alpha,17beta-diol disulfate;Lipids;Steroid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090649;5alpha-androstan-3alpha,17beta-diol disulfate [P, nt-ms]
674;1,7119;PC aa C40:5;Lipids;Diacylphosphatidylcholines;Plasma;Biocrates p150 [t-ms];C00157;HMDB08120;1010107;PC aa C40:5 [P, t-ms]
675;1,713;cysteine-glutathione disulfide;Amino Acids;Glutathione Metabolism;Urine;Metabolon HD4 [nt-ms];NA;HMDB00656;2090749;cysteine-glutathione disulfide [U, nt-ms]
676;1,713;2-methylbutyrylcarnitine (C5);Amino Acids;Leucine, Isoleucine and Valine Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;HMDB00378;1090572;2-methylbutyrylcarnitine (C5) [P, nt-ms]
677;1,7134;N6-succinyladenosine;Nucleotides;Purine Metabolism, Adenine containing;Plasma;Metabolon HD4 [nt-ms];NA;HMDB00912;1090907;N6-succinyladenosine [P, nt-ms]
678;1,7142;16a-hydroxy DHEA 3-sulfate;Lipids;Steroid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090494;16a-hydroxy DHEA 3-sulfate [P, nt-ms]
679;1,7144;arabonate/xylonate;Carbohydrates;Pentose Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2090696;arabonate/xylonate [U, nt-ms]
680;1,7152;palmitoylcholine;Lipids;Fatty Acid Metabolism (Acyl Choline);Plasma;Metabolon HD4 [nt-ms];NA;NA;1090967;palmitoylcholine [P, nt-ms]
681;1,7172;N-acetylserine;Amino Acids;Glycine, Serine and Threonine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;HMDB02931;2090933;N-acetylserine [U, nt-ms]
682;1,7176;PC aa C38:0;Lipids;Diacylphosphatidylcholines;Plasma;Biocrates p150 [t-ms];C00157;HMDB07985;1010098;PC aa C38:0 [P, t-ms]
683;1,7203;decanoylcarnitine;Lipids;Fatty Acid Metabolism(Acyl Carnitine);Plasma;Metabolon HD4 [nt-ms];NA;HMDB00651;1090753;decanoylcarnitine [P, nt-ms]
684;1,7203;guanidinosuccinate;Amino Acids;Guanidino and Acetamido Metabolism;Plasma;Metabolon HD4 [nt-ms];C03139;HMDB03157;1090830;guanidinosuccinate [P, nt-ms]
685;1,7205;N-acetyl-aspartyl-glutamate (NAAG);Amino Acids;Glutamate Metabolism;Urine;Metabolon HD4 [nt-ms];C12270;HMDB01067;2090914;N-acetyl-aspartyl-glutamate (NAAG) [U, nt-ms]
686;1,7207;3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF);Lipids;Fatty Acid, Dicarboxylate;Plasma;Metabolon HD4 [nt-ms];NA;HMDB61112;1090590;3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF) [P, nt-ms]
687;1,7217;1-linoleoyl-GPI (18:2)*;Lipids;Lysolipid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090520;1-linoleoyl-GPI (18:2)* [P, nt-ms]
688;1,7228;umbelliferone sulfate;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];NA;NA;1091061;umbelliferone sulfate [P, nt-ms]
689;1,7229;myo-inositol;Lipids;Inositol Metabolism;Urine;Metabolon HD4 [nt-ms];C00137;HMDB00211;2090894;myo-inositol [U, nt-ms]
690;1,7239;myo-inositol;Lipids;Inositol Metabolism;Plasma;Metabolon HD4 [nt-ms];C00137;HMDB00211;1090894;myo-inositol [P, nt-ms]
691;1,7251;3-methoxycatechol sulfate (1);Xenobiotics;Benzoate Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090607;3-methoxycatechol sulfate (1) [P, nt-ms]
692;1,7252;C3 (propionylcarnitine);Lipids;Short Chain Acylcarnitines;Plasma;Biocrates p150 [t-ms];C03017;HMDB00824;1010057;C3 (propionylcarnitine) [P, t-ms]
693;1,7262;M55;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080399;M55 [BA, PTRMS]
694;1,7274;5alpha-androstan-3beta,17alpha-diol disulfate;Lipids;Steroid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090652;5alpha-androstan-3beta,17alpha-diol disulfate [P, nt-ms]
695;1,7281;alpha-tocopherol;Cofactors and Vitamins;Tocopherol Metabolism;Plasma;Metabolon HD4 [nt-ms];C02477;HMDB01893;1090690;alpha-tocopherol [P, nt-ms]
696;1,7284;taurine;Amino Acids;Methionine, Cysteine, SAM and Taurine Metabolism;Plasma;Metabolon HD4 [nt-ms];C00245;HMDB00251;1091034;taurine [P, nt-ms]
697;1,7286;SM C16:1;Lipids;sphingomyelins;Plasma;Biocrates p150 [t-ms];NA;HMDB29216;1010163;SM C16:1 [P, t-ms]
698;1,7287;cysteinylglycine;Amino Acids;Glutathione Metabolism;Urine;Metabolon HD4 [nt-ms];C01419;HMDB00078;2090750;cysteinylglycine [U, nt-ms]
699;1,7287;N-acetylleucine;Amino Acids;Leucine, Isoleucine and Valine Metabolism;Urine;Metabolon HD4 [nt-ms];C02710;HMDB11756;2090927;N-acetylleucine [U, nt-ms]
700;1,7319;isovalerylcarnitine;Amino Acids;Leucine, Isoleucine and Valine Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;HMDB00688;1090862;isovalerylcarnitine [P, nt-ms]
701;1,7327;adenosine 3',5'-cyclic monophosphate (cAMP);Nucleotides;Purine Metabolism, Adenine containing;Plasma;Metabolon HD4 [nt-ms];C00575;HMDB00058;1090678;adenosine 3',5'-cyclic monophosphate (cAMP) [P, nt-ms]
702;1,7335;6-oxopiperidine-2-carboxylic acid;Amino Acids;Lysine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2090667;6-oxopiperidine-2-carboxylic acid [U, nt-ms]
703;1,7354;M56;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080400;M56 [BA, PTRMS]
704;1,7361;cholesterol;Lipids;Sterol;Plasma;Metabolon HD4 [nt-ms];C00187;HMDB00067;1090729;cholesterol [P, nt-ms]
