metabolite,biochemical,platform_name,id,fluid,matched,name,sid,chebi,swisslipids,hmdb,lipidmaps,pubchem,chebi_name,swisslipids_name,hmdb_name,lipidmaps_name,IUPAC,InchiKey,chebi_synonyms,swisslipids_synonyms,lipidmaps_synonyms
"""gamma-glutamylisoleucine*""","""gamma-glutamylisoleucine*""","""Metabolon HD4 [nt-ms]""","""34456 LC/MS Pos Early""","""plasma""",true,"[""gamma-glutamylisoleucine*""]","[""34456_lcmspos"", ""34456_lcmsposearly""]","[""CHEBI:68434""]",[],"[""HMDB0011170""]",[],"[""22885096""]","[""gamma-Glu-Ile""]",[],"[""gamma-Glutamylisoleucine""]",[],"[""L-gamma-glutamyl-L-isoleucine""]","[""SNCKGJWJABDZHI-ZKWXMUAHSA-N""]","[""gamma-Glu-Ile"", [""L-gamma-glutamyl-L-isoleucine"", ""L-gamma-Glu-L-Ile""]]",[],[]
"""gamma-glutamylleucine""","""gamma-glutamylleucine""","""Metabolon HD4 [nt-ms]""","""18369 LC/MS Pos Early""","""plasma""",true,"[""gamma-glutamylleucine""]","[""18369_lcmsneg"", ""18369_lcmspos"", ""18369_lcmsposearly""]","[""CHEBI:68433""]",[],"[""HMDB0011171""]",[],"[""151023""]","[""gamma-Glu-Leu""]",[],"[""gamma-Glutamylleucine""]",[],"[""L-gamma-glutamyl-L-leucine""]","[""MYFMARDICOWMQP-YUMQZZPRSA-N""]","[""gamma-Glu-Leu"", [""L-gamma-glutamyl-L-leucine"", ""L-gamma-Glu-L-Leu""]]",[],[]
"""gamma-glutamylmethionine""","""gamma-glutamylmethionine""","""Metabolon HD4 [nt-ms]""","""44872 LC/MS Pos Early""","""plasma""",true,"[""gamma-glutamylmethionine""]","[""44872_lcmspos"", ""44872_lcmsposearly""]","[""CHEBI:82965""]",[],"[""HMDB0034367""]",[],"[""7009567""]","[""gamma-Glu-Met""]",[],"[""gamma-Glutamylmethionine""]",[],"[""L-gamma-glutamyl-L-methionine""]","[""RQNSKRXMANOPQY-BQBZGAKWSA-N""]","[""gamma-Glu-Met"", [""L-gamma-glutamyl-L-methionine""]]",[],[]
"""gamma-glutamylphenylalanine""","""gamma-glutamylphenylalanine""","""Metabolon HD4 [nt-ms]""","""33422 LC/MS Neg""","""plasma""",true,"[""gamma-glutamylphenylalanine""]","[""33422_lcmspos"", ""33422_lcmsposearly"", ""33422_lcmsneg""]","[""CHEBI:89582""]",[],"[""HMDB0000594""]",[],"[""111299""]","[""gamma-Glu-Phe""]",[],"[""gamma-Glutamylphenylalanine""]",[],"[""L-gamma-glutamyl-L-phenylalanine""]","[""XHHOHZPNYFQJKL-QWRGUYRKSA-N""]","[""gamma-Glu-Phe"", [""L-gamma-Glutamyl-L-phenylalanine"", ""(2S)-2-amino-4-{[(1S)-1-carboxy-2-phenylethyl]carbamoyl}butanoic acid"", ""N-(gamma-L-Glutamyl)phenylalanine"", ""gamma-Glu-phe"", ""gamma-Glutamylphenylalanine"", ""N-L-gamma-Glutamyl-L-phenylalanine"", ""N-L-gamma-Glutamyl-3-phenyl-L-alanine"", ""L-gamma-Glu-L-Phe"", ""L-gamma-glutamyl-L-phenylalanine"", ""gamma-glutamylphenylalanine""]]",[],[]
"""gamma-glutamylthreonine*""","""gamma-glutamylthreonine*""","""Metabolon HD4 [nt-ms]""","""33364 LC/MS Pos Early""","""plasma""",true,"[""gamma-glutamylthreonine"", ""gamma-glutamylthreonine*""]","[""33364_lcmsposearly"", ""33364_lcmspos""]","[""CHEBI:133747""]",[],"[""HMDB0029159""]",[],"[""53861142""]","[""L-gamma-Glu-L-Thr""]",[],"[""gamma-Glutamylthreonine""]",[],"[""L-gamma-glutamyl-L-threonine""]","[""GWNXFCYUJXASDX-ZDLURKLDSA-N""]","[""L-gamma-Glu-L-Thr"", [""L-gamma-Glu-L-Thr"", ""L-gamma-glutamyl-L-threonine"", ""(2S)-2-amino-5-{[(1S,2R)-1-carboxy-2-hydroxypropyl]amino}-5-oxopentanoic acid""]]",[],[]
"""gamma-glutamyltryptophan""","""gamma-glutamyltryptophan""","""Metabolon HD4 [nt-ms]""","""33947 LC/MS Neg""","""plasma""",true,"[""gamma-glutamyltryptophan""]","[""33947_lcmspos"", ""33947_lcmsposearly"", ""33947_lcmsneg""]","[""CHEBI:133028""]",[],"[""HMDB0029160""]",[],"[""3038501""]","[""gamma-Glu-Trp""]",[],"[""gamma-Glutamyltryptophan""]",[],"[""L-gamma-glutamyl-L-tryptophan""]","[""CATMPQFFVNKDEY-AAEUAGOBSA-N""]","[""gamma-Glu-Trp"", [""gamma-glutamyltryptophan"", ""L-gamma-Glu-L-Trp"", ""L-gamma-glutamyl-L-tryptophan""]]",[],[]
"""gamma-glutamyltyrosine""","""gamma-glutamyltyrosine""","""Metabolon HD4 [nt-ms]""","""2734 LC/MS Neg""","""plasma""",true,"[""gamma-glutamyltyrosine""]","[""2734_lcmspos"", ""2734_lcmsposearly"", ""2734_lcmsneg""]","[""CHEBI:82969""]",[],"[""HMDB0011741""]",[],"[""94340""]","[""gamma-Glu-Tyr""]",[],"[""gamma-Glutamyltyrosine""]",[],"[""L-gamma-glutamyl-L-tyrosine""]","[""VVLXCWVSSLFQDS-QWRGUYRKSA-N""]","[""gamma-Glu-Tyr"", [""L-gamma-glutamyl-L-tyrosine"", ""gamma-glutamyltyrosine""]]",[],[]
"""gamma-glutamylvaline""","""gamma-glutamylvaline""","""Metabolon HD4 [nt-ms]""","""43829 LC/MS Neg""","""plasma""",true,"[""gamma-glutamylvaline""]","[""43829_lcmsneg"", ""43829_lcmspos"", ""43829_lcmsposearly""]","[""CHEBI:68848""]",[],"[""HMDB0011172""]",[],"[""7015683""]","[""gamma-Glu-Val""]",[],"[""gamma-Glutamylvaline""]",[],"[""(2S)-2-amino-5-{[(1S)-1-carboxy-2-methylpropyl]amino}-5-oxopentanoic acid""]","[""AQAKHZVPOOGUCK-XPUUQOCRSA-N""]","[""gamma-Glu-Val"", [""L-gamma-glutamyl-L-valine"", ""(2S)-2-amino-5-{[(1S)-1-carboxy-2-methylpropyl]amino}-5-oxopentanoic acid"", ""gamma-Glutamylvaline"", ""L-gamma-Glu-L-Val""]]",[],[]
"""gamma-tocopherol/beta-tocopherol""","""gamma-tocopherol/beta-tocopherol""","""Metabolon HD4 [nt-ms]""","""52473 LC/MS Pos Late""","""plasma""",true,"[""gamma-tocopherol/beta-tocopherol""]","[""52473_lcmsposlate""]","[""CHEBI:18185"", ""CHEBI:47771""]",[],"[""HMDB0001492"", ""HMDB0006335""]","[""LMPR02020065""]","[""92729"", ""6857447""]","[""gamma-tocopherol"", ""beta-tocopherol""]",[],"[""gamma-Tocopherol"", ""beta-Tocopherol""]","[""gamma-tocopherol""]","[""(2R)-2,7,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-chromen-6-ol"", ""(2R)-2,5,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-chromen-6-ol""]","[""QUEDXNHFTDJVIY-DQCZWYHMSA-N"", ""WGVKWNUPNGFDFJ-DQCZWYHMSA-N""]","[""gamma-tocopherol"", ""beta-tocopherol"", [""gamma-Tocopherol"", ""E308"", ""7,8-dimethyltocol"", ""D-gamma-tocopherol"", ""(2R)-3,4-dihydro-2,7,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-2H-1-benzopyran-6-ol"", ""(2R)-2,7,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-chromen-6-ol"", ""gamma-tocopherol"", ""(+)-gamma-tocopherol"", ""(2R,4'R,8'R)-gamma-tocopherol"", ""RRR-gamma-tocopherol"", ""(R,R,R)-gamma-tocopherol"", ""(+)-gamma-tocopherol"", ""(2R)-2,7,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-1-benzopyran-6-ol""], [""(R,R,R)-beta-tocopherol"", ""5,8-dimethyltocol"", ""(2R)-3,4-dihydro-2,5,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-2H-1-benzopyran-6-ol"", ""(2R)-2,5,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-chromen-6-ol"", ""beta-Tocopherol"", ""beta-tocopherol"", ""(2R,4'R,8'R)-beta-tocopherol"", ""(2R)-2,5,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-1-benzopyran-6-ol"", ""RRR-beta-tocopherol""]]",[],"[""gamma-tocopherol""]"
"""gentisate""","""gentisate""","""Metabolon HD4 [nt-ms]""","""18280 LC/MS Polar""","""plasma""",true,"[""gentisate""]","[""18280_lcmsneg"", ""18280_lcmspolar""]","[""CHEBI:17189""]",[],"[""HMDB0000152""]",[],"[""3469""]","[""2,5-dihydroxybenzoic acid""]",[],"[""Gentisic acid""]",[],"[""2,5-dihydroxybenzoic acid""]","[""WXTMDXOMEHJXQO-UHFFFAOYSA-N""]","[""2,5-dihydroxybenzoic acid"", [""2,5-Dihydroxybenzoate"", ""Gentisic acid"", ""Hydroquinonecarboxylic acid"", ""Gentisate"", ""5-hydroxysalicylic acid"", ""2,5-dihydroxybenzoic acid"", ""2,5-dihydroxybenzoic acid"", ""2,5-Dihydroxybenzoic acid""]]",[],[]
"""gluconate""","""gluconate""","""Metabolon HD4 [nt-ms]""","""587 LC/MS Polar""","""plasma""",true,"[""gluconate""]","[""587_gcms"", ""587_lcmspolar""]","[""CHEBI:24266""]",[],[],[],[],"[""gluconic acid""]",[],[],[],[],[],"[""gluconic acid""]",[],[]
"""glucose""","""glucose""","""Metabolon HD4 [nt-ms]""","""48152 LC/MS Polar""","""plasma""",true,"[""glucose""]","[""48152_lcmspolar""]","[""CHEBI:17234""]",[],[],[],[],"[""glucose""]",[],[],[],"[""gluco-hexose""]",[],"[""glucose"", [""Glucose"", ""glucose"", ""Glukose"", ""Glc"", ""gluco-hexose"", ""DL-glucose""]]",[],[]
"""glucuronate""","""glucuronate""","""Metabolon HD4 [nt-ms]""","""15443 LC/MS Neg""","""plasma""",true,"[""glucuronate""]","[""15443_gcms"", ""15443_lcmspolar"", ""15443_lcmsneg""]","[""CHEBI:24298""]",[],[],[],[],"[""glucuronic acid""]",[],[],[],"[""glucuronic acid""]",[],"[""glucuronic acid"", [""Glucuronsaeure"", ""Glukuronsaeure"", ""glucuronic acid""]]",[],[]
"""glutamate""","""glutamate""","""Metabolon HD4 [nt-ms]""","""57 LC/MS Pos Early""","""plasma""",true,"[""glutamate""]","[""57_lcmsneg"", ""57_lcmspos"", ""57_lcmsposearly""]","[""CHEBI:18237""]",[],"[""HMDB0060475""]",[],"[""611""]","[""glutamic acid""]",[],"[""DL-Glutamate""]",[],"[""2-aminopentanedioic acid""]","[""WHUUTDBJXJRKMK-UHFFFAOYSA-N""]","[""glutamic acid"", [""Glutaminic acid"", ""2-Aminoglutaric acid"", ""glutamic acid"", ""2-aminopentanedioic acid"", ""Glutaminsaeure"", ""DL-Glutamic acid"", ""Glu"", ""E"", ""Glutamic acid"", ""DL-Glutaminic acid"", ""Glutamate""]]",[],[]
"""glutamine""","""glutamine""","""Metabolon HD4 [nt-ms]""","""53 LC/MS Pos Early""","""plasma""",true,"[""glutamine""]","[""53_lcmspos"", ""53_lcmsposearly""]","[""CHEBI:28300""]",[],"[""HMDB0003423"", ""HMDB0000641""]",[],[],"[""glutamine""]",[],"[""D-Glutamine"", ""L-Glutamine""]",[],"[""glutamine""]","[""ZDXPYRJPNDTMRX-UHFFFAOYSA-N""]","[""glutamine"", [""Glutamine"", ""2-Aminoglutaramic acid"", ""glutamine"", ""2,5-diamino-5-oxopentanoic acid"", ""2-amino-4-carbamoylbutanoic acid"", ""Glutamin"", ""Glutaminsaeure-5-amid"", ""glutamic acid gamma-amide"", ""Hgln""]]",[],[]
"""glutarate (pentanedioate)""","""glutarate (pentanedioate)""","""Metabolon HD4 [nt-ms]""","""396 LC/MS Polar""","""plasma""",true,"[""glutarate (pentanedioate)""]","[""396_gcms"", ""396_lcmspolar""]","[""CHEBI:17859""]",[],"[""HMDB0000661""]",[],"[""743""]","[""glutaric acid""]",[],"[""Glutaric acid""]",[],"[""pentanedioic acid""]","[""JFCQEDHGNNZCLN-UHFFFAOYSA-N""]","[""glutaric acid"", [""Glutaric acid"", ""Pentanedioic acid"", ""1,3-Propanedicarboxylic acid"", ""GLUTARIC ACID"", ""pentanedioic acid"", ""1,5-pentanedioic acid"", ""Glutarsaeure""]]",[],[]
"""glutarylcarnitine (C5)""","""glutarylcarnitine (C5)""","""Metabolon HD4 [nt-ms]""","""44664 LC/MS Pos Early""","""plasma""",true,"[""glutarylcarnitine (C5-DC)"", ""glutarylcarnitine (C5)""]","[""44664_lcmsposearly"", ""44664_lcmspos""]","[""CHEBI:73040""]",[],"[""HMDB0240779""]","[""LMFA07070091""]","[""71464488""]","[""O-glutarylcarnitine""]",[],"[""O-Glutarylcarnitine""]","[""O-glutarylcarnitine""]","[""3-[(4-carboxybutanoyl)oxy]-4-(trimethylazaniumyl)butanoate""]","[""NXJAXUYOQLTISD-UHFFFAOYSA-N""]","[""O-glutarylcarnitine"", [""3-[(4-carboxybutanoyl)oxy]-4-(trimethylazaniumyl)butanoate"", ""glutarylcarnitine"", ""3-[(4-carboxybutanoyl)oxy]-4-(trimethylammonio)butanoate""]]",[],"[""O-glutarylcarnitine"", ""3-[(4-carboxybutanoyl)oxy]-4-(trimethylammonio)butanoate;glutarylcarnitine""]"
"""glutathione, oxidized (GSSG)""","""glutathione, oxidized (GSSG)""","""Metabolon HD4 [nt-ms]""","""27727 LC/MS Pos Early""","""plasma""",true,"[""glutathione, oxidized (GSSG)""]","[""27727_lcmspos"", ""27727_lcmsposearly""]","[""CHEBI:17858""]",[],"[""HMDB0003337""]",[],"[""65359""]","[""glutathione disulfide""]",[],"[""Oxidized glutathione""]",[],"[""(2S,2'S)-5,5'-[disulfanediylbis({(2R)-3-[(carboxymethyl)amino]-3-oxopropane-1,2-diyl}imino)]bis(2-amino-5-oxopentanoic acid)""]","[""YPZRWBKMTBYPTK-BJDJZHNGSA-N""]","[""glutathione disulfide"", [""Oxidized glutathione"", ""Glutathione disulfide"", ""GSSG"", ""oxidised glutathione"", ""(2S,2'S)-5,5'-[disulfanediylbis({(2R)-3-[(carboxymethyl)amino]-3-oxopropane-1,2-diyl}imino)]bis(2-amino-5-oxopentanoic acid)"", ""Oxiglutatione"", ""glutathione disulphide"", ""OXIDIZED GLUTATHIONE DISULFIDE"", ""Oxidized glutathione""]]",[],[]
"""glutathione, reduced (GSH)""","""glutathione, reduced (GSH)""","""Metabolon HD4 [nt-ms]""","""2127 LC/MS Pos Early""","""plasma""",true,"[""glutathione, reduced (GSH)""]","[""2127_lcmspos"", ""2127_lcmsposearly""]","[""CHEBI:16856""]",[],"[""HMDB0000125""]",[],"[""124886""]","[""glutathione""]",[],"[""Glutathione""]",[],"[""L-gamma-glutamyl-L-cysteinylglycine""]","[""RWSXRVCMGQZWBV-WDSKDSINSA-N""]","[""glutathione"", [""Glutathione"", ""Reduced glutathione"", ""5-L-Glutamyl-L-cysteinylglycine"", ""N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine"", ""gamma-L-Glutamyl-L-cysteinyl-glycine"", ""GSH"", ""L-gamma-glutamyl-L-cysteinylglycine"", ""Glutathione-SH""]]",[],[]
"""glycerate""","""glycerate""","""Metabolon HD4 [nt-ms]""","""1572 LC/MS Polar""","""plasma""",true,"[""glycerate""]","[""1572_gcms"", ""1572_lcmspolar""]","[""CHEBI:33508""]",[],"[""HMDB0000139"", ""HMDB0006372""]",[],[],"[""glyceric acid""]",[],"[""Glyceric acid"", ""L-Glyceric acid""]",[],"[""2,3-dihydroxypropanoic acid""]","[""RBNPOMFGQQGHHO-UHFFFAOYSA-N""]","[""glyceric acid"", [""2,3-dihydroxypropionic acid"", ""2,3-dihydroxypropanoic acid"", ""glyceric acid"", ""Gro""]]",[],[]
"""glycerol""","""glycerol""","""Metabolon HD4 [nt-ms]""","""15122 LC/MS Neg""","""plasma""",true,"[""glycerol""]","[""15122_gcms"", ""15122_lcmsneg"", ""15122_lcmspos""]","[""CHEBI:17754""]",[],"[""HMDB0000131""]",[],"[""753""]","[""glycerol""]",[],"[""Glycerol""]",[],"[""propane-1,2,3-triol""]","[""PEDCQBHIVMGVHV-UHFFFAOYSA-N""]","[""glycerol"", [""Glycerol"", ""Glycerin"", ""1,2,3-Trihydroxypropane"", ""1,2,3-Propanetriol"", ""propane-1,2,3-triol"", ""Gro"", ""glycerolum"", ""Glyzerin"", ""glycerol"", ""glycerol"", ""glycerine"", ""Oelsuess"", ""glycyl alcohol"", ""GLYCEROL"", ""glycerol"", ""Propanetriol"", ""Trihydroxypropane"", ""Glyceritol""]]",[],[]
"""glycerol 3-phosphate""","""glycerol 3-phosphate""","""Metabolon HD4 [nt-ms]""","""43847 LC/MS Pos Early""","""plasma""",true,"[""glycerol 3-phosphate""]","[""43847_lcmsposearly""]","[""CHEBI:14336""]",[],"[""HMDB0252849""]",[],"[""754""]","[""glycerol 1-phosphate""]",[],"[""Glycerophosphoric acid""]",[],"[""2,3-dihydroxypropyl dihydrogen phosphate""]","[""AWUCVROLDVIAJX-UHFFFAOYSA-N""]","[""glycerol 1-phosphate"", [""glycerol 1-(dihydrogen phosphate)"", ""alpha-glycerophosphoric acid"", ""alpha-phosphoglycerol"", ""1-glycerophosphate"", ""1-glycerophosphoric acid"", ""3-glycerophosphate"", ""glycerol alpha-phosphate"", ""1,2,3-propanetriol, 1-(dihydrogen phosphate)"", ""2,3-hydroxy-1-propyl dihydrogen phosphate"", ""2,3-dihydroxypropyl dihydrogen phosphate"", ""2,3-dihydroxypropyl dihydrogen phosphate"", ""PG"", ""1-phosphoglycerol"", ""DL-Glycerol 3-phosphate"", ""DL-glycerol 1-phosphate"", ""D,L-alpha-glycerol-phosphate"", ""Glycerol 1-phosphate"", ""DL-Glyceryl 1-phosphate"", ""rac-Glycerol 1-phosphate"", ""DL-Glycerol 3-phosphate""]]",[],[]
"""glycerophosphoethanolamine""","""glycerophosphoethanolamine""","""Metabolon HD4 [nt-ms]""","""37455 LC/MS Pos Early""","""plasma""",true,"[""glycerophosphoethanolamine""]","[""37455_gcms"", ""37455_lcmspolar"", ""37455_lcmspos"", ""37455_lcmsposearly""]","[""CHEBI:52330""]","[""SLM:000000372""]","[""HMDB0000114""]",[],"[""123874""]","[""glycerophosphatidylethanolamine""]","[""sn-glycero-3-phosphoethanolamine""]","[""Glycerylphosphorylethanolamine""]",[],"[""2-aminoethyl 2,3-dihydroxypropyl hydrogen phosphate""]","[""JZNWSCPGTDBMEW-UHFFFAOYSA-N""]","[""glycerophosphatidylethanolamine"", [""2-aminoethyl 2,3-dihydroxypropyl hydrogen phosphate"", ""Glycerophosphorylethanolamine"", ""sn-Glycerol-3-phosphoethanolamine""]]","[""sn-glycero-3-phosphoethanolamine""]",[]
"""glycerophosphoinositol*""","""glycerophosphoinositol*""","""Metabolon HD4 [nt-ms]""","""47155 LC/MS Polar""","""plasma""",true,"[""glycerophosphoinositol*""]","[""47155_lcmspolar""]","[""CHEBI:18321""]",[],"[""HMDB0011649""]",[],[],"[""1-(sn-glycero-3-phospho)-1D-myo-inositol""]",[],"[""Glycerophosphoinositol""]",[],"[""1D-myo-inositol 1-[(2R)-2,3-dihydroxypropyl hydrogen phosphate]""]","[""BMVUIWJCUQSHLZ-UJGXJMNGSA-N""]","[""1-(sn-glycero-3-phospho)-1D-myo-inositol"", [""1-(sn-glycero-3-phospho)-1D-myo-inositol"", ""sn-glycero-3-Phospho-1-inositol"", ""1-(sn-glycero-3-Phospho)-1D-myo-inositol"", ""1D-myo-inositol 1-[(2R)-2,3-dihydroxypropyl hydrogen phosphate]"", ""Glyerophosphoinositol"", ""GroPIns"", ""3-Phosphoglyceroinositol""]]",[],[]
"""glycerophosphorylcholine (GPC)""","""glycerophosphorylcholine (GPC)""","""Metabolon HD4 [nt-ms]""","""15990 LC/MS Pos Early""","""plasma""",true,"[""glycerophosphorylcholine (GPC)""]","[""15990_lcmspos"", ""15990_lcmsposearly""]","[""CHEBI:135063""]",[],"[""HMDB0252858""]",[],"[""11234""]","[""glycerylphosphorylcholine""]",[],"[""Glycerylphosphorylcholine""]",[],[],"[""SUHOQUVVVLNYQR-UHFFFAOYSA-N""]","[""glycerylphosphorylcholine"", [""glycerophosphorylcholine"", ""glycerophosphocholine"", ""glycerol phosphorylcholine"", ""glycerophosphoric acid choline ester"", ""glycerylphosphocholine""]]",[],[]
"""glycine""","""glycine""","""Metabolon HD4 [nt-ms]""","""58 LC/MS Pos Early""","""plasma""",true,"[""glycine""]","[""58_lcmspos"", ""58_lcmsposearly""]","[""CHEBI:15428""]",[],"[""HMDB0000123""]",[],"[""750""]","[""glycine""]",[],"[""Glycine""]",[],"[""glycine""]","[""DHMQDGOQFOQNFH-UHFFFAOYSA-N""]","[""glycine"", [""Glycine"", ""Aminoacetic acid"", ""Gly"", ""aminoacetic acid"", ""glycine"", ""G"", ""aminoethanoic acid"", ""aminoethanoic acid"", ""H2N-CH2-COOH"", ""Hgly"", ""Glycocoll"", ""Glyzin"", ""Glycin"", ""Glykokoll"", ""Aminoessigsaeure"", ""Leimzucker"", ""GLYCINE""]]",[],[]
"""glycochenodeoxycholate""","""glycochenodeoxycholate""","""Metabolon HD4 [nt-ms]""","""32346 LC/MS Neg""","""plasma""",true,"[""glycochenodeoxycholate""]","[""32346_lcmsneg"", ""32346_lcmspos"", ""32346_lcmsposlate""]","[""CHEBI:36274""]",[],"[""HMDB0000637""]","[""LMST05030008""]","[""12544""]","[""glycochenodeoxycholic acid""]",[],"[""Chenodeoxycholic acid glycine conjugate""]","[""Glycochenodeoxycholic acid""]","[""N-(3alpha,7alpha-dihydroxy-5beta-cholan-24-oyl)glycine""]","[""GHCZAUBVMUEKKP-GYPHWSFCSA-N""]","[""glycochenodeoxycholic acid"", [""Glycochenodeoxycholate"", ""glycine chenodeoxycholate"", ""[(3alpha,7alpha-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]acetic acid"", ""GLYCOCHENODEOXYCHOLIC ACID"", ""N-(3alpha,7alpha-dihydroxy-5beta-cholan-24-oyl)glycine"", ""chenodeoxycholylglycine"", ""chenodeoxyglycocholic acid"", ""Chenodeoxyglycocholate"", ""Glycochenodeoxycholic acid"", ""GCDCA""]]",[],"[""Glycochenodeoxycholic acid"", ""Chenodeoxycholic acid glycine conjugate; Chenoglycodeoxycholic acid; GCDCA""]"
"""glycochenodeoxycholate glucuronide (1)""","""glycochenodeoxycholate glucuronide (1)""","""Metabolon HD4 [nt-ms]""","""52983 LC/MS Neg""","""plasma""",true,"[""glycochenodeoxycholate glucuronide (1)""]","[""52983_lcmsneg""]","[""CHEBI:166729""]","[""SLM:000485695""]","[""HMDB0002579""]","[""LMST05010048""]",[],"[""Glycochenodeoxycholic acid 3-glucuronide""]","[""glycochenodeoxycholate""]","[""Glycochenodeoxycholic acid 3-glucuronide""]","[""Glycochenodeoxycholic acid 3-glucuronide""]","[""(2S,3S,4S,5R,6R)-6-[[(3R,5R,7R,8R,9S,10S,13R,14S,17R)-17-[(2R)-5-(carboxymethylamino)-5-oxopentan-2-yl]-7-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid""]","[""ABFZMYIIUREPLL-ASWJIRIHSA-N""]","[""Glycochenodeoxycholic acid 3-glucuronide"", [""(2S,3S,4S,5R,6R)-6-[[(3R,5R,7R,8R,9S,10S,13R,14S,17R)-17-[(2R)-5-(carboxymethylamino)-5-oxopentan-2-yl]-7-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid""]]","[""glycochenodeoxycholate""]","[""Glycochenodeoxycholic acid 3-glucuronide""]"
"""glycochenodeoxycholate sulfate""","""glycochenodeoxycholate sulfate""","""Metabolon HD4 [nt-ms]""","""52974 LC/MS Neg""","""plasma""",true,"[""glycochenodeoxycholate 3-sulfate""]","[""52974_lcmsneg""]","[""CHEBI:72733""]",[],"[""HMDB0002497""]",[],"[""21125002""]","[""sulfoglycochenodeoxycholic acid""]",[],"[""Glycochenodeoxycholate-3-sulfate""]",[],"[""N-[(3alpha,5beta,7alpha)-7-hydroxy-24-oxo-3-(sulfooxy)cholan-24-yl]glycine""]","[""DKXXSIJHWWVNMO-GYPHWSFCSA-N""]","[""sulfoglycochenodeoxycholic acid"", [""3-sulfo-GCDCA"", ""Glycochenodeoxycholate-3-sulfate"", ""Glycochenodeoxycholate-3-sulphate"", ""N-[(3alpha,5beta,7alpha)-7-hydroxy-24-oxo-3-(sulfooxy)cholan-24-yl]glycine"", ""GCDCS""]]",[],[]
"""glycocholate""","""glycocholate""","""Metabolon HD4 [nt-ms]""","""18476 LC/MS Neg""","""plasma""",true,"[""glycocholate""]","[""18476_lcmsneg"", ""18476_lcmspos""]","[""CHEBI:17687""]","[""SLM:000485375""]","[""HMDB0000138""]","[""LMST05030001""]","[""10140""]","[""glycocholic acid""]","[""glycocholate""]","[""Glycocholic acid""]","[""Glycocholic Acid""]","[""N-(3alpha,7alpha,12alpha-trihydroxy-5beta-cholan-24-oyl)glycine""]","[""RFDAIACWWDREDC-FRVQLJSFSA-N""]","[""glycocholic acid"", [""Glycocholic acid"", ""3alpha,7alpha,12alpha-Trihydroxy-5beta-cholan-24-oylglycine"", ""N-(3alpha,7alpha,12alpha-trihydroxy-5beta-cholan-24-oyl)glycine"", ""3alpha,7alpha,12alpha-trihydroxy-5beta-cholan-24-oylglycine"", ""N-[(3alpha,5beta,7alpha,12alpha)-3,7,12-trihydroxy-24-oxocholan-24-yl]glycine"", ""N-choloylglycine"", ""GLYCOCHOLIC ACID""]]","[""glycocholate""]","[""Glycocholic Acid"", ""Cholylglycine; GCA""]"
"""glycocholate glucuronide (1)""","""glycocholate glucuronide (1)""","""Metabolon HD4 [nt-ms]""","""52977 LC/MS Neg""","""plasma""",true,"[""glycocholate glucuronide (1)""]","[""52977_lcmsneg"", ""52977_lcmspolar""]","[""CHEBI:89282""]",[],"[""HMDB0002472""]","[""LMST05010023""]","[""6419427""]","[""(3a,5b,7a,12a)-24-[(carboxymethyl)amino]-1,12-dihydroxy-24-oxocholan-3-yl-b-D-Glucopyranosiduronic acid""]",[],"[""(3a,5b,7a,12a)-24-[(carboxymethyl)amino]-1,12-dihydroxy-24-oxocholan-3-yl-b-D-Glucopyranosiduronic acid""]","[""Glycocholic acid 3-glucuronide""]",[],"[""BWWWIHHYPYDOJQ-BSGVGGAOSA-N""]","[""(3a,5b,7a,12a)-24-[(carboxymethyl)amino]-1,12-dihydroxy-24-oxocholan-3-yl-b-D-Glucopyranosiduronic acid"", [""(2S,3S,4S,5R,6R)-6-{[(1S,2S,5R,7R,9R,10R,11S,15R,16S)-14-[(2R)-4-[(carboxymethyl)carbamoyl]butan-2-yl]-9,16-dihydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-5-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid"", ""Glycocholic acid 3-glucuronide""]]",[],"[""Glycocholic acid 3-glucuronide""]"
